iter	RMSE
285	0.289166993
286	0.2891196155
287	0.2890063755
288	0.2889151106
289	0.2888283851
290	0.2887670562
291	0.2886968317
292	0.2881964454
293	0.2880133991
294	0.2879661638
295	0.287484245
296	0.2869986584
297	0.2865337888
298	0.2864490534
299	0.2863641631
300	0.2859734699
301	0.2858926157
302	0.2854259269
303	0.2852371709
304	0.2850720251
305	0.284994001
306	0.2849522739
307	0.2849132641
308	0.2848342183
309	0.284759149
310	0.2846829326
311	0.2846430271
312	0.2844102959
313	0.2843363891
314	0.2841373052
315	0.2841002156
316	0.2839285637
317	0.2834841971
318	0.2834145414
319	0.2831098282
320	0.2829167459
321	0.2824904609
322	0.2820655234
323	0.2818953479
324	0.2816955545
325	0.2812874143
326	0.2812654551
327	0.2809185578
328	0.2807205152
329	0.280522732
330	0.2804622102
331	0.2803972404
332	0.2803648602
333	0.2803017911
334	0.2800441135
335	0.2800023492
336	0.2798682322
337	0.2798349262
338	0.2796637667
339	0.2792853468
340	0.2792188766
341	0.2791574873
342	0.2789580733
343	0.27890041
344	0.2788618058
345	0.2788224161
346	0.2784599321
347	0.278308368
348	0.2782510107
349	0.2780417741
350	0.2778955951
351	0.2775015651
352	0.2773166948
353	0.2772722803
354	0.276926717
355	0.2767365659
356	0.2766457981
357	0.2765917687
358	0.2765270081
359	0.276472723
360	0.2763368296
361	0.2762451288
362	0.2759127352
363	0.2757902479
364	0.2757183193
365	0.2756661083
366	0.2755373295
367	0.2755081655
368	0.2753849532
369	0.2752649753
370	0.2751481282
371	0.2748898393
372	0.2748627954
373	0.2747440805
374	0.2747094679
375	0.2745344157
376	0.2742825291
377	0.2739397797
378	0.2738275461
379	0.273713159
380	0.2736289235
381	0.2734638658
382	0.2732319548
383	0.273077737
384	0.2727601302
385	0.2724660773
386	0.2724419203
387	0.2722255821
388	0.2720632179
389	0.2719502999
390	0.2719016973
391	0.2717604847
392	0.2717146255
393	0.2716680631
394	0.2715047356
395	0.2713961954
396	0.2713511222
397	0.2712704035
398	0.2711943638
399	0.2709719692
400	0.2707811565
401	0.2706831117
402	0.2706357821
403	0.2704615663
404	0.2703021793
405	0.2702401704
406	0.2701970095
407	0.2699689684
408	0.2697969994
409	0.2696420103
410	0.2693902193
411	0.2692465762
412	0.2690657252
413	0.2690235646
414	0.2687528204
415	0.2687130254
416	0.2686488799
417	0.2685162349
418	0.2682695768
419	0.2682168788
420	0.2680757334
421	0.267847188
422	0.2676496532
423	0.2674993752
424	0.2673537924
425	0.267167185
426	0.2670547566
427	0.266984279
428	0.2668349539
429	0.2666662277
430	0.2665145159
431	0.2664367333
432	0.2662897022
433	0.2661283356
434	0.2660257243
435	0.2658420433
436	0.2657480257
437	0.2655070355
438	0.2652993927
439	0.265260817
440	0.2652201628
441	0.2650123802
442	0.2649733496
443	0.2646981888
444	0.2645508578
445	0.2643229928
446	0.2643075978
447	0.2641871609
448	0.2641063812
449	0.2639319864
450	0.2637778626
451	0.2637424445
452	0.2635988247
453	0.2632667787
454	0.2630693778
455	0.2629016705
456	0.262688739
457	0.2624768104
458	0.2623297328
459	0.2621673252
460	0.2620060144
461	0.2619905894
462	0.2618189869
463	0.2617360838
464	0.2614224708
465	0.2612455682
466	0.2611124934
467	0.2609240029
468	0.2606364226
469	0.260476864
470	0.260416744
471	0.2603066225
472	0.2601550737
473	0.2600075121
474	0.2598230768
475	0.2597730194
476	0.2595590935
477	0.2592602292
478	0.2591137583
479	0.2589562278
480	0.2588041037
481	0.2586557023
482	0.2583692996
483	0.258157162
484	0.2580683282
485	0.2579320607
486	0.2577864561
487	0.2576457531
488	0.2573730842
489	0.2573394583
490	0.2573249281
491	0.2571536254
492	0.2570171513
493	0.2568718657
494	0.2566765674
495	0.2565395191
496	0.2564043124
497	0.2562687416
498	0.2560111211
499	0.2558835778
500	0.2557957724
501	0.255733448
502	0.255485576
503	0.2553893732
504	0.2551981362
505	0.2550926802
506	0.2549476105
507	0.254810514
508	0.2545946474
509	0.2543849983
510	0.254248156
511	0.2540136202
512	0.2538810375
513	0.2537406232
514	0.2535693999
515	0.2533621815
516	0.2531084193
517	0.2528638933
518	0.2527229254
519	0.2525273489
520	0.2523952298
521	0.2521405736
522	0.2520111272
523	0.2518891289
524	0.2517693549
525	0.2516247276
526	0.2513897332
527	0.2513059669
528	0.2509239262
529	0.2506978153
530	0.2504980457
531	0.2503958574
532	0.2502889585
533	0.2500934295
534	0.2498838036
535	0.2496819589
536	0.2495762086
537	0.2494192256
538	0.2492714707
539	0.2491458287
540	0.2489571378
541	0.2488106183
542	0.2486546648
543	0.2482975881
544	0.2481027522
545	0.2480001464
546	0.2478101728
547	0.2477423897
548	0.2475620726
549	0.2473975564
550	0.2472092238
551	0.2471773337
552	0.2470555881
553	0.2469007283
554	0.2467833956
555	0.2466170996
556	0.2464346307
557	0.2461547374
558	0.2460398604
559	0.2459099342
560	0.2457597972
561	0.2455994117
562	0.2455448541
563	0.2454289952
564	0.2453225843
565	0.245263087
566	0.245202409
567	0.2451071798
568	0.2449139584
569	0.2448042094
570	0.2447057353
571	0.2445357793
572	0.2444764215
573	0.244375112
574	0.2442372608
575	0.2441170398
576	0.2439744254
577	0.2438580493
578	0.2437524581
579	0.2436395493
580	0.243454394
581	0.2433818338
582	0.2431588718
583	0.2430348321
584	0.2427649819
585	0.2425178619
586	0.2424587191
587	0.2422784565
588	0.2421609289
589	0.2420830607
590	0.2419839346
591	0.2418037123
592	0.2416921785
593	0.241579492
594	0.2412527772
595	0.2409987783
596	0.2408532151
597	0.240545943
598	0.2403931521
599	0.2402883227
600	0.2401822011
601	0.240086532
602	0.2399130817
603	0.2397914931
604	0.239686092
605	0.2395902469
606	0.2395783016
607	0.2394994914
608	0.2394020172
609	0.2392925381
610	0.2391545155
611	0.2390489981
612	0.2389630947
613	0.2388646886
614	0.2387732576
615	0.2387130139
616	0.238611837
617	0.2386044576
618	0.2385774
619	0.238491629
620	0.2382376891
621	0.2381437924
622	0.2380100802
623	0.2379245506
624	0.2378351361
625	0.2377482226
626	0.237671924
627	0.2375476711
628	0.2374038637
629	0.2372772466
630	0.2370542314
631	0.2370238914
632	0.2369424742
633	0.2368666003
634	0.2367533757
635	0.2366899605
636	0.2366114678
637	0.2364225509
638	0.2363204844
639	0.2361992442
640	0.2359953948
641	0.2358821218
642	0.2357865259
643	0.2356051041
644	0.2355299091
645	0.2354436429
646	0.2352687087
647	0.2350878433
648	0.2349262039
649	0.2347946697
650	0.2346720101
651	0.2345795781
652	0.2344069745
653	0.234352833
654	0.234272193
655	0.2340276512
656	0.2339767632
657	0.2338111353
658	0.2336490803
659	0.2335129894
660	0.2334619651
661	0.233445856
662	0.2333429532
663	0.2331977688
664	0.2329926779
665	0.2328875562
666	0.2328101913
667	0.2325641157
668	0.2325056958
669	0.2323696308
670	0.2321977776
671	0.2320578622
672	0.2319593466
673	0.2317969021
674	0.231688068
675	0.231529733
676	0.2313654212
677	0.2312212889
678	0.2310002816
679	0.23095027
680	0.2308947948
681	0.2306523703
682	0.2303675615
683	0.2302626826
684	0.2302060631
685	0.230043646
686	0.229968877
687	0.2298127036
688	0.2296911489
689	0.22940216
690	0.2293025409
691	0.2292404906
692	0.2291606985
693	0.2291049874
694	0.2290007085
695	0.2289520516
696	0.228850592
697	0.2288276978
698	0.2285606639
699	0.2284084571
700	0.2282127434
701	0.2281404032
702	0.2280040229
703	0.2279595692
704	0.2278452389
705	0.2277349009
706	0.2276345949
707	0.2275438806
708	0.2274162429
709	0.2273394621
710	0.2272713337
711	0.2271716479
712	0.2271253224
713	0.2270461667
714	0.2269711114
715	0.2268495242
716	0.2267209241
717	0.2266415207
718	0.2265720951
719	0.2265392377
720	0.226469809
721	0.2263313639
722	0.2261946062
723	0.226093996
724	0.2259684616
725	0.2258038632
726	0.2257169146
727	0.2256935526
728	0.2256028265
729	0.2255314967
730	0.2255028252
731	0.2254041815
732	0.2252794944
733	0.2252201789
734	0.2251597953
735	0.2250046456
736	0.2249226707
737	0.2248331492
738	0.2247399012
739	0.2246396393
740	0.2245676593
741	0.2245283873
742	0.2244330472
743	0.2243884297
744	0.2243195087
745	0.2241226893
746	0.2241011562
747	0.2239875053
748	0.2238755713
749	0.2236454375
750	0.2234108925
751	0.2234037564
752	0.2233468708
753	0.2232773445
754	0.223042189
755	0.2229190727
756	0.2227796868
757	0.2227058694
758	0.2226146663
759	0.2223358548
760	0.2220689513
761	0.222025816
762	0.2218585349
763	0.2217268117
764	0.2216561322
765	0.221533334
766	0.2214438551
767	0.2212859851
768	0.2212658151
769	0.2211815131
770	0.2211271891
771	0.2210256924
772	0.2209477901
773	0.2207887151
774	0.2206842552
775	0.2206546062
776	0.2204721312
777	0.220338963
778	0.2201722828
779	0.220076053
780	0.2198968389
781	0.2197311773
782	0.2196473911
783	0.2194953571
784	0.2193916711
785	0.2193276395
786	0.2192530599
787	0.219246252
788	0.2191831336
789	0.2191481814
790	0.2190186623
791	0.2189702814
792	0.2188905074
793	0.2186670667
794	0.2184413415
795	0.2183767972
796	0.2183003851
797	0.2181341992
798	0.2181058044
799	0.2179834026
800	0.2179084716
801	0.2178108251
802	0.2177184187
803	0.2175964933
804	0.2174925521
805	0.217412227
806	0.217290809
807	0.2172004864
808	0.217132479
809	0.2170304073
810	0.2169919062
811	0.2169385086
812	0.216874818
813	0.2167736655
814	0.2167298479
815	0.2166609235
816	0.2166330296
817	0.2165373099
818	0.2164568403
819	0.2164300094
820	0.2163393278
821	0.2162503312
822	0.216148736
823	0.2160112493
824	0.2159439323
825	0.215878227
826	0.2157807068
827	0.2157604235
828	0.2156932779
829	0.21564346
830	0.2156015446
831	0.2154429421
832	0.2153539628
833	0.2152057202
834	0.215130115
835	0.2150403605
836	0.2149657096
837	0.2148761497
838	0.2147993056
839	0.2147512592
840	0.2146790011
841	0.2146335807
842	0.2145273348
843	0.2144797414
844	0.2143989323
845	0.2143247468
846	0.2142069679
847	0.2141276727
848	0.214108288
849	0.2139782087
850	0.213863648
851	0.2137777589
852	0.2136999878
853	0.2136889165
854	0.2135674534
855	0.2134924637
856	0.2133531576
857	0.2132649167
858	0.2131030979
859	0.2129608779
860	0.2128896056
861	0.2127818672
862	0.2126723733
863	0.2126018198
864	0.2125267075
865	0.2123519252
866	0.2122722461
867	0.2121052044
868	0.2120032993
869	0.2119375555
870	0.2115977251
871	0.2114988293
872	0.2113629075
873	0.2113252986
874	0.211139707
875	0.2110756048
876	0.2108976468
877	0.2108684922
878	0.2107130251
879	0.2106825141
880	0.2106188078
881	0.2104330803
882	0.2103806633
883	0.2102451051
884	0.2099309457
885	0.2098678755
886	0.2097877063
887	0.2097268361
888	0.2096488923
889	0.2095174603
890	0.209430327
891	0.2093804573
892	0.2092510691
893	0.2091814224
894	0.2090751064
895	0.2089182968
896	0.2088414393
897	0.2086887301
898	0.2086180825
899	0.2084446828
900	0.208342028
901	0.2082954423
902	0.2082137947
903	0.2080678437
904	0.2078830616
905	0.2078084938
906	0.2077679763
907	0.2077016066
908	0.2076244192
909	0.2075639249
910	0.2074040932
911	0.2073418303
912	0.2072751144
913	0.2072137216
914	0.2071291265
915	0.2070027879
916	0.2068616725
917	0.2067361286
918	0.2066685572
919	0.2066205641
920	0.2065547688
921	0.2064681656
922	0.2063471408
923	0.2062494525
924	0.2060934299
925	0.2060299955
926	0.2059367228
927	0.2058727258
928	0.2058494119
929	0.2057410413
930	0.2057302294
931	0.2056605055
932	0.2056080745
933	0.205589232
934	0.205438162
935	0.2053546718
936	0.2053026565
937	0.2052471483
938	0.2050841791
939	0.2050229032
940	0.2049533281
941	0.2048374331
942	0.2046660388
943	0.2046347143
944	0.2045402107
945	0.2043810648
946	0.2042742478
947	0.204118625
948	0.2040047598
949	0.2039309112
950	0.2038780127
951	0.2037587344
952	0.2036649402
953	0.203565046
954	0.203439357
955	0.2032723757
956	0.2031617933
957	0.2031250149
958	0.2029748521
959	0.2029415842
960	0.2028833952
961	0.2028530607
962	0.2026924506
963	0.2025567923
964	0.2025383628
965	0.202515856
966	0.2024157515
967	0.202354914
968	0.2022980107
969	0.2022397363
970	0.2022296784
971	0.2021641367
972	0.202067305
973	0.2020540286
974	0.2018990485
975	0.2018217042
976	0.2017347134
977	0.2015877957
978	0.2015405402
979	0.201531033
980	0.2011388249
981	0.2010240708
982	0.2009322455
983	0.2007944978
984	0.200727276
985	0.2005927638
986	0.2004999868
987	0.2004817108
988	0.2003486781
989	0.2002628675
990	0.2001881432
991	0.2000776175
992	0.2000670132
993	0.1999576478
994	0.1998679604
995	0.1998135693
996	0.1997378675
997	0.1996578085
998	0.1995704057
999	0.1994672562
